대사 아이디,다음 대사,발화자,텍스트,외관 아이디,연출,배경
E03_01,E03_02,나,(스승님은 마지막 순간까지 나를 챙겨 주셨다.),,,BG_black
E03_02,E03_03,나,(그러나 배은망덕한 나는 끝끝내 그 손을 뿌리치고 떠나왔다.),,,BG_black
E03_03,E03_04,나,(의기양양하게 차린 나만의 오마카세 레스토랑` 그러나 현실은 내 생각처럼 녹록하지 않았다.),,,BG_black
E03_04,E03_05,나,(손님은 점점 줄어들었고` 요리는 점점 초라해졌다.),,,BG_black
E03_05,E03_06,나,차라리 스승님을 떠나지 않았더라면......,,,BG_black
E03_06,E03_07,나,(이런 후회를 한들` 스승님은 이제 내 곁에 계시지 않는다.),,,BG_black
E03_07,E03_08,나,(마지막으로 평소 스승님이 좋아하시던 소고기 설렁탕을 끓여 병원으로 향했다.),,,BG_black
E03_08,E03_09,남승준,여기가 어디라고 찾아오시는 거죠? 분명 다시는 볼 일이 없었으면 좋겠다고 했을 텐데요.,Main_NSJ_blame,fade_in,BG_hospital
E03_09,E03_10,나,......,,,BG_hospital
E03_10,E03_11,나,(한입이라도 드시고 힘을 내시길 바랐지만` 코마에 빠진 스승님은 설렁탕이 식어가도록 아무런 반응이 없었다.),,,BG_hospital
E03_11,E03_12,남승준,인공호흡기를 달고 계신 아버지가 어떻게` 당신이 가져온 설렁탕을 드실 수 있겠어요?,Main_NSJ_blame,,BG_hospital
E03_12,E03_13,나,......,,,BG_hospital
E03_13,E03_14,남승준,이건 도로 가져가주세요.,Main_NSJ_blame,,BG_hospital
E03_14,E03_15,남승준,그리고 다시 한 번 분명하게 말씀드리죠. 앞으로 두 번 다시 볼 일이 없었으면 좋겠습니다.,Main_NSJ_blame,,BG_hospital
E03_15,E03_16,나,죄송합니다...,,fade_out,BG_hospital
E03_16,E03_17,나,(대체 어디서부터 잘못됐던 걸까...?),,fade_in,BG_future3
E03_17,E03_18,나,(나는 어디서 이 비극을 막을 수 있었을까?),,fade_out,BG_future3
E03_18,,,The End,,,BG_black
