텍스트,유형,베이스재료,주재료,조리법,포맷화,,카운트
맛있게 잘 먹었습니다! 다음에 또 올게요.,positive,,,,F,,
리뷰 이벤트 없이 리뷰를 쓰고 싶게 만든 음식은 처음이에요. 더 많은 사람들이 이 식당을 알아야 해요!,positive,,,,F,,
저 오막하세의 단골이 될래요! 너무 맛있어요!,positive,,,,F,,
살면서 먹어본 $$ 요리 중에서 제일 맛있어요!,positive,,$$,,T,,
살면서 먹어본 %% 요리 중에서 제일 맛있어요!,positive,,%%,,T,,
$$의 신선한 맛이 느껴져서 좋았어요.,positive,,$$,,T,,
%%의 신선한 맛이 느껴져서 좋았어요.,positive,,%%,,T,,
굿. 저는 손님의 주문을 존중해주는 식당이 좋아요.,positive,,,,F,,
손님은 왕이다! 짐이 그대에게 좋은 평판을 내리겠노라!,positive,,,,F,,
누군가 요리를 막 하는 것처럼 보인다면` 그 사람이 요리를 매우 잘하고 있다는 뜻이죠.,positive,,,,F,,
느좋이네요. 합격 드리겠습니다.,positive,,,,F,,
오오ㅠㅠ 오마카세냥이 사랑해ㅠㅠ,positive,,,,F,,
따봉카세야 고마워,positive,,,,F,,
푸멘.,positive,,,,F,,
앙~ (^.^),positive,,,,F,,
오막하세에서 밥을 먹고 나의 성공시대 시작됐다♪,positive,,,,F,,
너무 맛있어서 승천할 수도 있을 듯.,positive,,,,F,,
당신의 미래가 보여요... 오마카세 셰프로 성공한 미래!,positive,,,,F,,
단언컨대 오막하세는 가장 완벽한 오마카세 식당입니다.,positive,,,,F,,
음식이 아주 담백하고 맛있네요. 여기서 상견례 해도 되겠어요.,positive,,,,F,,
다른 사람이 주문한 메뉴가 잘못 나온 것 같은데` 그 사람 입맛은 좋네요.,neutral,,,,F,,
나쁘진 않네요. 그치만...,neutral,,,,F,,
아...... 네......,neutral,,,,F,,
어... 먹을게요` 먹어야죠.,neutral,,,,F,,
이걸 주문한 건 아니었던 것 같은데... 그래도 맛은 있네요.,neutral,,,,F,,
젊은 요리사의 패기가 느껴지는 맛이었어요.,neutral,,,,F,,
괜찮아요` 점점 실력이 붙을 거예요.,neutral,,,,F,,
$$ 요리였더라면 더 좋았을 것 같지만` 이것도 나름 괜찮네요.,neutral,,$$,,T,,
%% 요리였더라면 더 좋았을 것 같지만` 이것도 나름 괜찮네요.,neutral,,%%,,T,,
제 돈 주고 사 먹을 맛은 아닌 것 같아요. 남이 사준다면 먹긴 할 듯?,neutral,,,,F,,
"당신은 나름대로 열심히 한 것 같아도 음식이 생각보다 맛없을 수 있습니다. 그건 본인이 못 해서가 아니라 ""그 들""이 너무 강해서 그런 것입니다.",neutral,,,,F,,
외계인 침공시 손님 무시한 요리사가 먼저 잡아먹힌다,neutral,,,,F,,
충격 오막하세 진짜 막 해 (그러나 맛있긴 해),neutral,,,,F,,
주문은 무시당했지만 맛있는 게 나왔으니 좋았쓰!,neutral,,,,F,,
듀... (ㅇ.ㅇ),neutral,,,,F,,
곱게 자란 내가 이런 음식을 먹을 수 있을 리 없잖아` 무리무리! (※무리가 아니었다?!),neutral,,,,F,,
오막하세 셰프는 손님의 요구사항을 찢어(negative).,neutral,,,,F,,
제가 이걸 주문했다고요? 구라같은데 ⟡⋄,neutral,,,,F,,
내 입맛을 망치러 온 나의 구원자여...,neutral,,,,F,,
이게 왜... 맛있지?,neutral,,,,F,,
요리 연습 좀 더 하고 오셔야겠어요.,negative,,,,F,,
대체 무슨 자신감으로 오마카세 식당을 차린 거예요?,negative,,,,F,,
얼마 못 가서 망할 것 같은... 아` 아무것도 아니에요!,negative,,,,F,,
손님 말이 말 같지 않나요?,negative,,,,F,,
요리를 정말 막 하시네요...,negative,,,,F,,
제 주문을 졸면서 받으셨나요?,negative,,,,F,,
상한 $$를 사용한 것 같은 맛이에요...,negative,,$$,,T,,
상한 %%을 사용한 것 같은 맛이에요...,negative,,%%,,T,,
이게 제가 주문한 메뉴가 맞나요?,negative,,,,F,,
이건 뭐 재미도 없고 감동도 없고 맛도 없고...,negative,,,,F,,
나의 $$는 이렇지 않아!,negative,,$$,,T,,
나의 %%은 이렇지 않아!,negative,,%%,,T,,
대충 알았다... 이 식당의 레벨... 맛없어서 죽고싶어 졌다.,negative,,,,F,,
손님도 이제 한계다. 그냥 장사 접어라. 복잡한 주문 탓 재료 탓 장비 탓하지 마라.,negative,,,,F,,
뜌어어어어어 (ㅠ.ㅠ),negative,,,,F,,
우리는 이런 걸 음식이라 부르지 않기로 약속했어요.,negative,,,,F,,
물이 제일 맛있네요.,negative,,,,F,,
패닉! 앳 더 오마카세...,negative,,,,F,,
준비한 사회성이 모두 소진되어 좋은 후기를 남길 수 없습니다.,negative,,,,F,,
충격과 공포의 맛이었다...,negative,,,,F,,
