대사 아이디,다음 대사,발화자,텍스트,외관 아이디,유형,주재료,카테고리
D00_C01_01_,D00_C01_O_,나,드디어 나만의 오마카세 식당을 열게 되었군.,,,,
D00_C01_O_,D00_C01_R_,나,내일부터 영업 시작이니` 오늘의 마지막 연습으로 삼겹살 덮밥을 만들어 봐야지.,,generous,돼지고기&&,덮밥
D00_C01_R_,D00_C01_02_,나,이 정도면 만족스러워. 이것 봐` 시대에 뒤처진 스승님의 그깟 요리 철학 따위 없이도 혼자서 잘할 수 있다고.,,,,
D00_C01_02_,EOD_D01~C01~01~,나,결국 중요한 건 결과` 즉 요리의 맛이지. 첫 번째 단계는 넘어갔어. 이제 본격적으로 시작할 차례야.,,,,
D01_C01_01_,D01_C01_01_a&&D01_C01_01_b,박효진,하하! 드디어 오막하세의 개업이구나? 너의 오랜 소꿉친구이자` 영광스러운 첫 번째 손님의 등장이시다.,Main001,,,
D01_C01_01_a,D01_C01_O_,나,어서 와.,,,,
D01_C01_01_b,D01_C01_O_,나,어서 오십쇼.,,,,
D01_C01_O_,D01_C01_R_positive,박효진,이미 ㅁㅁ레스토랑이 동네 원탑을 차지하고 있는데` 너라면 ㅁㅁ레스토랑과는 다른 새로운 맛을 보여주겠지? 얼마나 맛있게 하는지 한번 보자고.,Main001,generous,,
D01_C01_R_positive,EOO_D01~C02~01~,박효진,음` 맛있네! 아무튼 개업 축하하고` 앞으로도 화이팅해라.,Main001,positive,,
D01_C02_01_,D01_C02_O_,황수영,오` 우리 동네에 드디어 새로운 오마카세 식당이 생겨서 좋네요. 선택지가 두 개로 늘어났으니까요.,Main002,,,
D01_C02_O_,D01_C02_R_positive,황수영,한 곳만 계속 가면 너무 뻔하잖아요? 여기서는 어떤 메뉴가 나올지 궁금하네요.,Main002,generous,,
D01_C02_R_positive,GTR_D02~C01~01~,황수영,다양한 옵션이 있다는 건 언제나 좋은 일이죠.,Main002,positive,,
D02_C01_01_,D02_C01_01_a&&D02_C01_01_b,수상한 후드,흠... 오마카세라. 그렇다면 네가 알아서 해 주는 거겠지?,Main_Hood,,,
D02_C01_01_a,D02_C01_02_,나,그렇죠.,,,,
D02_C01_01_b,D02_C01_02_,나,맞아요.,,,,
D02_C01_02_,D02_C01_03_,수상한 후드,뭐야` 육류가 돼지고기밖에 없어? 돼지고기는 잡내가 심해. 나같이 미각이 예민한 사람들은 그걸 싫어한다고.,Main_Hood,,,
D02_C01_03_,D02_C01_O_,나,(수상한 후드에게 닭고기를 받았다.),,,,
D02_C01_O_,D02_C01_R_positive&&D02_C01_R_neutral&&D02_C01_R_negative,수상한 후드,당연히 닭고기 요리도 할 수 있겠지?,Main_Hood,normal,닭고기&&,
D02_C01_R_positive,EOO_D02~C02~01~,수상한 후드,흠` 이게 네 실력인가. 먹어 줄 만 하지만` 아직 한참 멀었어.,Main_Hood,positive,,
D02_C01_R_neutral,EOO_D02~C02~01~,수상한 후드,패기 넘치는 애송이로군. 실력만 믿고 까불다가는 언젠가 큰 코 다칠 것이야.,Main_Hood,neutral,,
D02_C01_R_negative,EOO_D02~C02~01~,수상한 후드,하! 손님의 말이 말 같지 않다 이건가? 간단한 요구사항마저 무시하다니` 애송이가 우습게 구는군.,Main_Hood,negative,,
D02_C02_01_,D02_C02_02_,이지민,안녕하세요` 여러분! 미니TV 채널의 주인장 이지민입니다. 오늘은 새로 생긴 오마카세 식당에 와봤어요!,Main003,,,
D02_C02_02_,D02_C02_O_,이지민,식당 이름은 오막하세! 과연 오막하세는 ㅁㅁ레스토랑의 적수가 될 수 있을까요?! 제가 직접 리뷰해 보겠습니다!,Main003,,,
D02_C02_O_,D02_C02_R_positive,이지민,자~ 사장님! 지금 이 가게에서 제일 자신 있는 요리로 하나 부탁드려요! 우리 구독자님들한테 솔직한 리뷰를 보여드려야 하니까요~!,Main003,generous,,
D02_C02_R_positive,GTR_D03~C01~01~,이지민,음음! 나쁘지 않아요! ㅁㅁ레스토랑 사장님은 긴장하셔야겠는데요~?! 어쩌면 오마카세 업계의 세대교체가 일어날지도요!,Main003,positive,,
D03_C01_01_,D03_C01_01_a&&D03_C01_01_b,박효진,오~ 오막하세가 작심삼일로 끝나지 않은 걸 보니까` 나 말고도 오는 손님이 있긴 한가 보네? 제법인데~,Main001,,,
D03_C01_01_a,D03_C01_O_,나,당연하지.,,,,
D03_C01_01_b,D03_C01_O_,나,내가 누군데.,,,,
D03_C01_O_,D03_C01_R_positive,박효진,뭐` 계속 가게 운영하면 나야 좋지! 내 입이 즐거울 테니까. 오늘도 맛있는 걸로 부탁할게!,Main001,generous,,
D03_C01_R_positive,EOO_D03~C02~O~,박효진,음 역시 맛있어~ 일주일째 되는 날 다시 올게. 그때까지 망하면 안 된다!,Main001,positive,,
D03_C02_O_,D03_C02_R_positive&&D03_C02_R_neutral&&D03_C02_R_negative,강준우,이겼닭! 오늘 저녁은 치킨이닭!,Main004,normal,닭고기&&,
D03_C02_R_positive,GTR_D04~C01~01~,강준우,치킨 버프 발동!,Main004,positive,,
D03_C02_R_neutral,GTR_D04~C01~01~,강준우,그럴 수 있어. 이런 날도 있는 거지 뭐.,Main004,neutral,,
D03_C02_R_negative,GTR_D04~C01~01~,강준우,윽... 힐` 힐러가 필요해...!,Main004,negative,,
D04_C01_01_,D04_C01_01_a&&D04_C01_01_b,수상한 후드,흠` 이 식당... 버섯 요리는 안 하는 건가?,Main_Hood,,,
D04_C01_01_a,D04_C01_02_,나,어... 일단은요?,,,,
D04_C01_01_b,D04_C01_02_,나,버섯은 없어요.,,,,
D04_C01_02_,D04_C01_03_,수상한 후드,비건 고기라고도 불리는 고단백 식재료인데... 생각보다 요리 스타일이 보수적이군.,Main_Hood,,,
D04_C01_03_,D04_C01_O_,나,(수상한 후드에게 버섯을 받았다.),,,,
D04_C01_O_,D04_C01_R_positive&&D04_C01_R_neutral&&D04_C01_R_negative,수상한 후드,오늘은 맛있는 버섯 요리가 먹고 싶군. 설마 고기가 없으면 맛있는 요리를 못 한다는 건 아니겠지?,Main_Hood,normal,&&버섯,
D04_C01_R_positive,GTR_D05~C01~01~,수상한 후드,음음` 그럭저럭 나쁘지 않은 맛이군.,Main_Hood,positive,,
D04_C01_R_neutral,GTR_D05~C01~01~,수상한 후드,이게 뭔가? 버섯을 사용하는 데에는 그토록 자신이 없었다는 뜻이라고 봐도 되겠지?,Main_Hood,neutral,,
D04_C01_R_negative,GTR_D05~C01~01~,수상한 후드,하! 이봐 애송이` 그런 식으로 장사하면 이 바닥에서 살아남지 못할 거야. 알고 있겠지?,Main_Hood,negative,,
D05_C01_01_,D05_C01_01_a&&D05_C01_01_b,수상한 마스크,음... 저기... 그...,Main_Mask,,,
D05_C01_01_a,D05_C01_02_,나,누구세요?,,,,
D05_C01_01_b,D05_C01_02_,나,어떤 걸로 드릴까요?,,,,
D05_C01_02_,D05_C01_03_,수상한 마스크,아 그건 별로 중요하지 않고요... 이거 받으세요.,Main_Mask,,,
D05_C01_03_,D05_C01_04_,나,(수상한 마스크에게 면을 받았다. 누구지? 어디서 본 적 있는 것 같기도 하고...),,,,
D05_C01_04_,D05_C01_04_a&&D05_C01_04_b,수상한 마스크,그럼 저는 이만...,Main_Mask,,,
D05_C01_04_a,D05_C01_O_,나,그냥 가시는 거예요?,,,,
D05_C01_04_b,D05_C01_O_,나,뭐라도 드시고 가셔야죠.,,,,
D05_C01_O_,D05_C01_R_positive,수상한 마스크,아... 뭐라도 먹어야` 음... 그러면 아무거나 주세요...,Main_Mask,generous,,
D05_C01_R_positive,GTR_D05~C04~01~,수상한 마스크,... 잘 먹었습니다.,Main_Mask,positive,,
D05_C04_01_,D05_C04_O_,최민석,음... 근손실 방지를 위해 무얼 먹어야 할까.,Main005,,,
D05_C04_O_,D05_C04_R_positive&&D05_C04_R_neutral&&D05_C04_R_negative,최민석,단백질 보충이 필요해요! 닭가슴살과 버섯을 사용해서 샌드위치를 만들어 주실 수 있나요?,Main005,picky,닭고기&&버섯,샌드위치
D05_C04_R_positive,GTR_D05~C07~01~,최민석,역시 진정한 오마카세는 제 기대를 저버리지 않는군요!,Main005,positive,,
D05_C04_R_neutral,GTR_2D05~C07~01~,최민석,제가 너무 맛없는 요구를 했나요...? 주문이랑은 다르지만 맛은 있으니... 치팅 데이라고 하죠 뭐!,Main005,neutral,,
D05_C04_R_negative,GTR_D05~C07~01~,최민석,제 요구를 받아주는 진짜 오마카세 가게를 찾아봐야겠네요.,Main005,negative,,
D05_C07_01_,D05_C07_02_,이지민,오~ 아직도 버티고 계시네요? 생각보다 오래 가는데요? 아` 지금은 촬영 안 하고 있어요.,Main003,,,
D05_C07_02_,D05_C07_02_a&&D05_C07_02_b,이지민,솔직히 ㅁㅁ레스토랑 이기고 싶으시죠? 저한테 요리 하나 공짜로 주시면` 제가 기깔나게 리뷰 써 드릴게요! 당신에게도 좋은 제안 아닌가요?,Main003,,,
D05_C07_02_a,D05_C07_O_A,나,그러죠 뭐. 홍보 많이 해주세요.,,,,
D05_C07_02_b,D05_C07_O_B,나,음식을 공짜로 드리긴 좀 어렵네요.,,,,
D05_C07_O_A,D05_C07_R_A,이지민,흠흠` 역시 사장님은 현명하시네요! 사진에 예쁘게 담길 화려한 메뉴 하나 준비해 주세요!,Main003,generous,,
D05_C07_R_A,EOD_D06~C00~01~,이지민,맛있게 잘 먹었습니다! 제 조회수면 효과는 확실할 테니 기대하셔도 좋아요~,Main003,positive,,
D05_C07_O_B,D05_C07_R_B,이지민,... 뭐` 알겠어요. 그래도 배는 고프니까 아무거나 하나 먹고 갈게요.,Main003,generous,,
D05_C07_R_B,EOD_D06~C00~01~,이지민,저는 솔직한 리뷰를 쓸 테니` 책임은 알아서 지셔야 합니다~?,Main003,positive,,
D06_C00_01_,D06_C00_01_a&&D06_C00_01_b,박효진,야` 너 인터넷에 그 얘기 봤냐?,Main001,,,
D06_C00_01_a,D06_C00_02_A&&D06_C00_02_B,나,무슨 얘기?,,,,
D06_C00_01_b,D06_C00_02_A&&D06_C00_02_B,나,안 봤는데.,,,,
D06_C00_02_A,D06_C00_03_A,박효진,너 인터넷에서 완전 화제야! 신선한 재료에 가성비까지 최고인 맛집 오마카세 식당으로 유명해졌다고!,Main001,,,
D06_C00_03_A,D06_C00_04_,박효진,아아` 이러다가 손님이 너무 많아져서 단골 VIP의 자리를 다른 사람들에게 빼앗기면 어떡하지~,Main001,,,
D06_C00_02_B,D06_C00_03_B,박효진,사장님도 불친절하고` 요리의 맛도 별로라서 다시 오고 싶지 않다는 리뷰 영상이 10만 조회수를 넘어가던데?!,Main001,,,
D06_C00_03_B,D06_C00_04_,박효진,뭐` 그래도 난 항상 네 편이다. 이 맛있는 요리를 직접 먹어보지도 않고 그런 유언비어를 믿는 사람들이 이상한 거지!,Main001,,,
D06_C00_04_,D06_C00_04_a&&D06_C00_04_b,박효진,아무튼... 인터넷에서 시끄러워지는 게 항상 좋지만은 않으니까~ 앞으로 조금 더 주의하는 게 좋을 것 같아서 말해주러 왔다.,Main001,,,
D06_C00_04_a,EOO_D06~C01~01~,나,고마워.,,,,
D06_C00_04_b,EOO_D06~C01~01~,나,잘 가.,,,,
D06_C01_01_,D06_C01_02_,수상한 후드,요즘 젊은이들한테 연어만큼 인기 있는 생선이 또 있을까? 트렌드를 모르면 요식업계에서 살아님기 힘들 거야.,Main_Hood,,,
D06_C01_02_,D06_C01_O_,나,(수상한 후드에게 연어를 받았다.),,,,
D06_C01_O_,D06_C01_R_positive&&D06_C01_R_neutral&&D06_C01_R_negative,수상한 후드,날것의 연어 요리로 하나 만들어 줬으면 좋겠군.,Main_Hood,picky,연어&&,덮밥||샌드위치||국수
D06_C01_R_positive,GTR_D07~C01~01~,수상한 후드,요리의 맛이 점점 발전하는 것 같... 아` 아니지` 아직 부족해. 너는 앞으로도 한참 발전해야 해!,Main_Hood,positive,,
D06_C01_R_neutral,GTR_D07~C01~01~,수상한 후드,애송이` 맛있다고 장땡이 아니란 말을 꼭 네 귀로 직접 들어야 알겠느냐?,Main_Hood,neutral,,
D06_C01_R_negative,GTR_D07~C01~01~,수상한 후드,... 그래` 이게 너의 방식이란 말이로구나...,Main_Hood,negative,,
D07_C01_01_,D07_C01_01_a&&D07_C01_01_b,박효진,야` 축하한다~ 드디어 영업 일주일 차 돌파!,Main001,,,
D07_C01_01_a,D07_C01_02_,나,야호!,,,,
D07_C01_01_b,D07_C01_02_,나,신난다!,,,,
D07_C01_02_,D07_C01_O_,박효진,이런 기념일에는 샴페인이라도 한 병 터뜨려야 하는 거 아니냐? 물론 네 돈으로 말이지! 큭큭.,Main001,,,
D07_C01_O_,D07_C01_R_positive&&D07_C01_R_neutral&&D07_C01_R_negative,박효진,샴페인이랑 찰떡으로 잘 어울리는 연어 디쉬로 하나 내어오시죠~,Main001,normal,연어&&,
D07_C01_R_positive,GTR_D08~C00~01~,박효진,음` 역시 연어는 언제 먹어도 맛있다니까! 네 요리도 마찬가지고!,Main001,positive,,
D07_C01_R_neutral,GTR_D08~C00~01~,박효진,오... 연어는 아니지만 의외로 샴페인이랑 잘 어울리는 맛인데?,Main001,neutral,,
D07_C01_R_negative,GTR_D08~C00~01~,박효진,야` 너... 설마 다른 손님들 요구사항도 이런 식으로 무시하고 그러는 거 아니지...? 걱정돼서 하는 말이야.,Main001,negative,,
D08_C00_01_,D08_C00_01_a,나,가게 앞에 웬 당근 상자가...?,,,,
D08_C00_01_a,D08_C00_02_,나,자세히 살펴보자.,,,,
D08_C00_02_,GTR_D08~C05~O~,나,상자에 '오막하세 앞'이라고 적혀 있다. 누가 주려던 걸까? 상태를 보니 꽤 신선한데... 갖다 써야겠다!,,,,
D08_C04_O_,D08_C04_R_positive,황수영,ㅁㅁ레스토랑이 웬일로 오늘은 문을 닫았더라고요. 그래서 여기 왔어요. 선택지가 두 개 있으니 역시 좋네요.,Main002,generous,,
D08_C04_R_positive,GTR_D08~C06~O~,황수영,잘 먹고 갑니다.,Main002,positive,,
D08_C06_O_,D08_C06_R_positive&&D08_C06_R_negative,장하율,니모를 찾아주세요! 전설에 따르면 니모는 주황색 주먹밥 안에 숨어 있대요!,Main006,strict,연어&&당근,구운주먹밥
D08_C06_R_positive,GTR_D09~C05~01~,장하율,우와 니모다! 찾는 걸 도와주셔서 감사합니다!,Main006,positive,,
D08_C06_R_negative,GTR_D09~C05~01~,장하율,우우... 이번에도 니모 찾기는 실패네요.,Main006,negative,,
D09_C05_01_,D09_C05_02_,이지민,충격적인 소식입니다. ㅁㅁ레스토랑의 셰프가 뺑소니 사고를 당해 중환자실에 있다는 소식 들었어요? 깨어나지 못할 수도 있다더라고요.,Main003,,,
D09_C05_02_,D09_C05_O_,이지민,근데... 당신에게는 좋은 소식 아닌가요? 가장 큰 경쟁자가 사라졌으니` 이제 승승장구할 일만 남았잖아요!,Main003,,,
D09_C05_O_,D09_C05_R_positive,이지민,하하` 축하라도 해 드려야 하나? 지금 당신의 기분을 요리로 표현해 주세요.,Main003,generous,,
D09_C05_R_positive,GTR_D10~C00~01~,이지민,아~ 이렇게까지 어그로를 끌었으니 이번 영상도 조회수가 잘 나와야 할텐데!,Main003,positive,,
D10_C00_01_,D10_C00_01_a&&D10_C00_01_b,수상한 마스크,... 아버지께서는... 당신에게 재료를 전해주려다 사고를 당하셨어요.,Main_Mask,,,
D10_C00_01_a,D10_C00_02_,나,그게 대체 무슨 소리에요?,,,,
D10_C00_01_b,D10_C00_02_,나,더 자세히 말해주세요.,,,,
D10_C00_02_,D10_C00_03_,남승준,저희 아버지... 남영기 셰프가... 그동안 당신에게 각종 재료를 가져다 주던 거예요. 저는 그 아들 남승준이고요.,Main_NSJ,,,
D10_C00_03_,D10_C00_04_,남승준,당신이 아니었다면` 아버지께서 이곳에 오지 않으셨더라면... 흑... 그런 사고는 일어나지 않았을 겁니다.,Main_NSJ,,,
D10_C00_04_,D10_C00_05_,남승준,... 전부 당신 때문이에요.,Main_NSJ,,,
D10_C00_05_,D10_C00_06_,나,......,,,,
D10_C00_06_,D10_C00_07_,남승준,흑... 아버지께서... 이걸 당신에게 전해 주라고 하셨어요.,Main_NSJ,,,
D10_C00_07_,D10_C00_08_,나,(편지와 소고기를 받았다.),,,,
D10_C00_08_,D10_C00_09_,남승준,아버지의 마지막 부탁이니... 이것만은 당신에게 전해주러 왔습니다. 하지만...,Main_NSJ,,,
D10_C00_09_,D10_C00_10_,남승준,앞으로는... 다시는 볼 일이 없었으면 좋겠습니다.,Main_NSJ,,,
D10_C00_10_,D10_C00_10_a,나,......,,,,
D10_C00_10_a,,나,편지를 읽어본다.,,,,
