대사 아이디,다음 대사,발화자,텍스트,외관 아이디,연출,배경
E02_01,E02_02,나,(스승님의 마지막 가르침. 그 소고기 레시피를 전수받았지만` 여전히 혼자서 레스토랑을 운영하기란 쉽지 않았다.),,,BG_black
E02_02,E02_03,나,(텅 빈 주방에 혼자 있자니 늘 뒤에서 지켜봐 주시던 스승님의 존재가 더없이 그리워졌다.),,,BG_black
E02_03,E02_04,나,스승님이라면 어떻게 하셨을까......,,,BG_black
E02_04,E02_05,나,(나는 평소 스승님이 좋아하시던 소고기 설렁탕을 끓여 병원으로 향했다.),,,BG_black
E02_05,E02_06,나,스승님` 몸은 좀 괜찮으세요?,,fade,BG_hospital
E02_06,E02_07,남영기,누구...시죠...? 병실 잘못 찾아오신 것 같은데요.,Main_NYK_patient,,BG_hospital
E02_07,E02_08,나,(이게 무슨 일이지? 분명 얼굴도` 병실 이름판도 스승님이 맞는데......),,,BG_hospital
E02_08,E02_09,남승준,다시는 볼 일이 없었으면 좋겠다고 했는데` 결국 여기까지 찾아오셨군요.,Main_NSJ_blame,,BG_hospital
E02_09,E02_10,남승준,아버지께서는 교통사고로 인해 기억을 일부 잃어버리셨습니다.,Main_NSJ_blame,,BG_hospital
E02_10,E02_11,의사,자주 있는 일은 아니지만` 그렇다고 아주 영화에서만 나오는 이야기도 아니죠.,Main_doctor,,BG_hospital
E02_11,E02_12,의사,잃어버린 기억은 영영 돌아오지 않을 수도 있고` 어떠한 계기를 통해 돌아올 수도 있습니다.,Main_doctor,,BG_hospital
E02_12,E02_13,나,(스승님께서는 기적적으로 깨어나셨지만` 사고의 후유증은 너무나도 컸다.),,,BG_hospital
E02_13,E02_14,나,(기억이 희미하게 사라져 있었고` 손에는 작은 떨림이 남아 있었다.),,,BG_hospital
E02_14,E02_15,나,(스승님은 아마 다시는 칼을 잡을 수 없으시겠지...),,,BG_hospital
E02_15,E02_16,나,(내 요리로 스승님의 기억을 되찾아 드릴 수 있을까?),,fade,BG_black
E02_16,E02_17,나,괜찮아요` 스승님. 이제는 제가 해드릴게요.,,,BG_black
E02_17,E02_18,나,(나는 오늘도 스승님을 위해 요리를 한다.),,fade,BG_future2
E02_18,E02_19,나,(아직 부족하지만` 언젠가는 스승님이 가르쳐 주신 그 깊은 맛을 내 손으로 완성할 수 있기를 바라며.),,,BG_future2
E02_19,E02_20,나,(언젠가는 스승님이 기억을 되찾으실 수 있기를 바라며.),,,BG_future2
E02_20,,,The End,,fade,BG_black
